TinggiLaut,KecepatanAngin,GangguanCuaca,Gelombang,Astronomi,rob
1,0,1,1.25,0,0
1.1,0,1,1.25,0,0
1.2,0,1,1,1,0
1.3,15,1,1,1,0
1.4,10,1,0.75,1,0
1.4,15,1,0.75,1,0
1.5,15,1,0.75,1,1
1.5,25,1,1.5,1,1
1.5,15,1,2,1,1
1.5,15,1,2,1,1
1.4,8,1,2,1,0
1.4,8,0,1.5,0,0
1.2,10,0,1.5,0,0
1.2,15,0,0.75,0,0
1.3,25,0,1.25,0,0
1.4,25,0,1.25,1,0
1.5,15,0,1,1,0
1.5,20,1,1.25,1,0
1.6,15,1,1.25,1,1
1.6,20,1,1.25,1,1
1.6,25,1,1.5,1,1
1.5,20,0,1.5,0,0
1.4,20,0,1.5,0,0
1.3,20,0,0.5,0,0
1.2,15,0,0.5,0,0
1.2,0,1,1,1,0
1.3,10,1,1,1,0
1.4,10,1,1,1,0
1.5,15,1,1.5,1,1
1.6,20,1,1.5,1,1
1.6,25,1,1.5,1,1
1.6,20,1,1.5,0,1
1.6,15,1,1.5,0,1
1.5,15,1,1.85320719833174,1,1
1.5,15,1,1.80003540959862,1,1
1.6,25,1,1.5,1,1
1.6,25,1,1.5,1,1
1.6,19,1,1.5,0,1
1.54402235533017,15,1,1.66983233502376,1,1
1.58229831416597,15,1,1.38276264375524,1,1
1.5,15,1,1.06143873481244,1,1
1.6,24,1,1.5,0,1
